jam_penggunaan_media_sosial,jam_bermain_game,jam_streaming,jam_pemakaian_aplikasi_pesan,level_stress,kategori
1.87,1.71,2.77,0.79,67.64,stress
0.45,3.0,2.25,1.26,19.24,tidak stress
1.56,1.78,2.08,1.44,41.96,tidak stress
0.85,1.57,1.1,1.91,3.55,tidak stress
1.22,2.11,1.73,0.94,64.61,stress
1.37,2.37,0.64,1.7,36.02,tidak stress
1.19,1.01,2.14,0.64,31.12,tidak stress
0.98,2.07,0.93,1.46,52.73,stress
1.2,0.0,2.7,2.02,78.32,stress
1.73,1.99,1.21,1.27,29.27,tidak stress
0.92,3.08,0.51,1.01,53.47,stress
1.12,2.1,0.78,1.74,75.33,stress
2.24,0.11,1.14,2.19,69.62,stress
2.8,1.34,0.73,1.67,55.24,stress
1.51,0.93,1.05,1.62,10.91,tidak stress
0.67,1.87,1.12,1.42,59.12,stress
2.59,1.67,2.09,0.96,72.31,stress
1.88,0.0,2.14,1.87,21.27,tidak stress
1.84,1.57,2.63,1.54,98.16,stress
1.55,1.84,2.67,2.25,40.59,tidak stress
1.59,1.39,3.25,1.59,71.1,stress
2.82,1.26,2.02,0.96,42.51,tidak stress
2.43,2.04,1.01,1.74,69.82,stress
2.07,0.0,1.28,1.12,12.91,tidak stress
0.16,1.72,1.56,2.05,31.67,tidak stress
0.87,1.34,2.47,2.17,40.45,tidak stress
0.27,2.0,1.91,0.29,3.7,tidak stress
2.57,2.52,2.42,1.99,7.01,tidak stress
1.38,1.76,2.46,1.73,14.77,tidak stress
2.26,0.0,2.33,1.77,41.6,tidak stress
4.0,0.23,0.53,2.14,13.15,tidak stress
1.72,0.43,1.79,1.03,67.32,stress
1.84,2.67,1.63,1.11,86.01,stress
2.14,1.84,1.92,1.86,53.36,stress
1.75,2.24,1.9,0.63,34.67,tidak stress
2.29,1.29,3.41,1.2,12.84,tidak stress
2.24,1.34,2.64,1.14,1.02,tidak stress
1.82,1.68,1.04,1.2,9.15,tidak stress
1.62,0.0,1.58,1.32,12.57,tidak stress
3.41,1.21,0.0,1.59,39.49,tidak stress
0.83,2.47,3.35,1.68,41.54,tidak stress
2.61,1.19,0.55,1.7,49.34,tidak stress
0.02,1.6,2.85,1.41,60.25,stress
2.48,3.1,2.14,1.8,26.94,tidak stress
0.0,2.99,1.18,0.77,41.26,tidak stress
1.23,0.55,3.62,1.09,62.6,stress
1.4,0.99,3.34,1.7,25.47,tidak stress
1.81,1.15,2.38,0.71,46.85,tidak stress
2.87,0.86,1.11,1.71,72.27,stress
2.9,1.28,1.58,1.25,69.49,stress
2.4,1.8,0.63,1.83,51.44,stress
0.23,2.34,0.96,1.36,75.45,stress
2.15,2.24,2.69,1.05,17.06,tidak stress
2.21,1.0,3.23,0.45,5.97,tidak stress
1.46,2.79,2.14,1.34,63.99,stress
0.92,1.34,2.86,1.66,37.26,tidak stress
2.76,0.06,2.91,1.49,65.35,stress
1.49,2.14,1.34,1.02,41.57,tidak stress
2.38,2.76,0.3,1.46,24.14,tidak stress
2.85,2.52,1.02,1.88,21.15,tidak stress
4.29,1.02,2.04,1.26,1.41,tidak stress
2.82,1.07,1.76,1.78,4.42,tidak stress
2.65,0.21,1.33,1.58,32.86,tidak stress
2.58,2.05,1.87,0.61,49.01,tidak stress
1.86,1.19,3.11,1.47,21.48,tidak stress
1.29,1.26,1.55,1.41,57.81,stress
2.07,1.17,3.48,1.6,10.22,tidak stress
3.39,1.71,2.2,2.01,93.03,stress
1.2,0.0,1.48,1.32,23.55,tidak stress
2.22,3.42,0.33,1.64,72.69,stress
3.02,1.73,1.29,1.48,83.0,stress
0.72,0.79,2.29,2.55,2.43,tidak stress
3.08,2.03,3.32,1.22,90.95,stress
3.0,1.24,2.07,2.31,22.81,tidak stress
1.87,1.91,0.49,1.48,24.39,tidak stress
1.55,0.85,2.27,1.84,89.51,stress
2.2,0.37,1.68,1.93,53.24,stress
3.13,1.03,1.8,1.64,21.41,tidak stress
3.22,0.69,1.31,0.96,47.55,tidak stress
1.59,0.95,2.03,1.31,41.41,tidak stress
0.51,1.21,4.95,0.77,9.26,tidak stress
3.49,0.9,1.15,1.28,61.73,stress
2.16,1.82,3.18,1.25,37.26,tidak stress
3.7,0.59,1.02,1.46,50.54,stress
0.0,1.1,2.52,0.82,15.94,tidak stress
2.43,0.19,1.56,1.83,27.58,tidak stress
4.2,1.75,3.21,1.53,1.57,tidak stress
2.01,0.82,1.62,2.57,17.11,tidak stress
3.58,2.45,2.45,1.22,68.21,stress
2.43,1.23,1.37,2.11,32.18,tidak stress
0.68,2.07,2.26,1.4,17.37,tidak stress
0.43,2.32,0.43,1.23,57.44,stress
3.14,1.0,3.44,1.36,85.34,stress
0.74,2.47,2.55,2.23,35.62,tidak stress
2.55,1.07,1.84,2.2,48.73,tidak stress
2.57,2.33,0.0,2.41,51.25,stress
1.39,0.86,2.01,1.41,33.36,tidak stress
2.86,0.9,2.16,0.94,2.71,tidak stress
2.83,2.22,1.15,2.18,14.28,tidak stress
1.4,3.46,0.0,1.69,20.65,tidak stress
2.73,2.73,3.26,1.59,2.24,tidak stress
2.34,1.66,2.47,0.85,88.98,stress
2.52,0.0,1.07,2.15,85.68,stress
3.13,0.0,1.13,0.5,18.21,tidak stress
0.83,1.59,2.8,1.62,74.58,stress
0.42,4.07,1.56,1.44,84.44,stress
2.27,0.17,1.69,1.34,12.23,tidak stress
1.86,1.01,2.32,1.07,85.92,stress
2.79,0.01,2.22,1.35,2.56,tidak stress
2.08,2.28,2.5,2.08,56.4,stress
1.77,2.3,2.61,1.61,84.07,stress
1.74,0.61,1.08,1.26,82.49,stress
2.41,2.23,1.88,1.26,60.6,stress
1.07,0.0,2.27,2.06,30.64,tidak stress
1.84,1.99,2.46,1.1,92.21,stress
3.8,3.34,4.09,1.75,27.65,tidak stress
1.41,2.85,2.63,1.98,89.6,stress
2.5,1.82,3.15,1.37,50.14,stress
2.22,0.93,2.49,0.38,70.16,stress
3.17,1.42,2.61,0.64,43.59,tidak stress
2.22,2.86,2.45,1.89,10.93,tidak stress
1.54,0.58,0.59,1.71,41.82,tidak stress
2.57,1.67,1.8,2.14,91.75,stress
2.31,2.32,1.33,1.39,86.23,stress
1.9,1.75,1.93,2.32,56.4,stress
2.38,2.13,3.84,0.49,27.36,tidak stress
0.98,1.72,3.33,1.3,89.6,stress
2.46,2.52,1.98,2.78,93.28,stress
3.25,0.61,2.45,1.71,2.79,tidak stress
0.99,2.93,2.98,0.97,47.06,tidak stress
2.62,2.37,2.82,1.8,52.9,stress
1.44,1.77,0.18,1.67,41.28,tidak stress
1.9,1.5,2.53,1.0,63.82,stress
3.59,2.11,2.77,1.25,87.73,stress
1.27,0.45,0.46,1.04,58.76,stress
2.49,2.49,2.01,2.25,59.87,stress
1.99,0.08,4.2,1.72,89.66,stress
1.57,1.85,1.79,1.94,11.15,tidak stress
2.86,0.83,3.52,1.66,75.15,stress
1.73,0.37,1.67,1.41,86.85,stress
2.3,2.16,1.71,1.31,22.61,tidak stress
0.29,1.38,2.51,0.87,81.53,stress
1.5,1.71,3.16,0.57,17.22,tidak stress
2.12,1.0,2.31,1.21,12.25,tidak stress
2.92,1.89,3.0,1.48,53.82,stress
1.08,1.34,1.23,1.67,67.85,stress
1.44,0.6,0.09,1.26,93.94,stress
2.48,2.15,1.61,0.94,71.96,stress
1.83,0.0,2.03,2.23,67.66,stress
0.0,0.5,2.16,1.37,24.69,tidak stress
3.43,2.92,2.12,0.95,41.7,tidak stress
1.48,0.0,1.46,1.27,47.25,tidak stress
2.29,1.62,2.41,2.09,89.79,stress
2.43,0.0,0.74,0.79,61.49,stress
3.1,0.99,2.31,0.88,83.14,stress
0.99,2.53,2.52,2.01,41.73,tidak stress
2.27,2.32,3.29,0.92,25.25,tidak stress
2.01,1.52,1.75,1.13,1.21,tidak stress
1.7,2.38,1.9,1.28,85.58,stress
1.15,0.84,1.56,1.65,37.8,tidak stress
1.35,1.58,1.85,2.09,55.78,stress
2.15,3.16,1.93,2.02,90.53,stress
1.9,2.4,2.75,0.86,49.84,tidak stress
2.37,0.79,2.21,1.23,5.3,tidak stress
1.96,1.22,3.65,1.18,42.65,tidak stress
1.22,1.16,2.26,1.52,37.67,tidak stress
1.42,2.63,3.11,1.07,79.85,stress
1.18,0.0,1.55,1.71,84.34,stress
2.65,0.0,1.22,0.82,66.29,stress
0.64,1.64,1.12,2.04,88.29,stress
0.55,0.0,1.45,1.47,98.25,stress
2.35,1.05,2.24,2.37,48.28,tidak stress
1.02,1.4,1.0,1.8,0.18,tidak stress
1.69,1.45,1.86,1.22,80.58,stress
3.18,0.23,1.86,1.75,99.24,stress
2.09,1.38,1.88,0.68,81.06,stress
1.99,1.62,2.0,1.49,19.63,tidak stress
3.07,1.84,4.34,1.58,36.72,tidak stress
2.53,3.38,1.47,1.52,10.34,tidak stress
1.77,0.0,1.8,1.86,23.04,tidak stress
1.85,1.45,3.18,0.93,21.43,tidak stress
0.0,3.5,1.0,1.47,77.38,stress
2.02,2.39,2.07,1.04,4.42,tidak stress
2.49,0.0,2.72,2.09,81.89,stress
2.37,0.98,3.93,1.57,67.79,stress
0.25,2.36,0.03,1.06,67.17,stress
2.71,3.26,2.88,2.32,21.15,tidak stress
1.33,1.51,2.25,1.65,72.25,stress
3.08,1.59,2.92,2.16,52.9,stress
1.64,1.2,2.52,1.53,66.26,stress
2.09,1.97,3.07,1.05,91.58,stress
3.2,1.59,3.17,2.7,68.44,stress
1.17,1.12,2.56,1.93,98.91,stress
2.44,0.27,2.88,1.61,3.0,tidak stress
3.45,0.89,3.57,1.84,44.28,tidak stress
1.39,0.49,0.25,2.31,47.49,tidak stress
1.24,1.57,0.5,1.88,98.88,stress
1.87,0.28,1.33,0.46,58.67,stress
2.43,0.92,2.64,1.96,87.5,stress
1.83,2.54,1.96,1.3,40.09,tidak stress
1.66,0.44,1.92,1.57,9.43,tidak stress
1.94,0.61,1.09,1.24,37.66,tidak stress
2.76,2.94,2.52,0.27,49.8,tidak stress
3.03,2.47,1.04,1.43,45.18,tidak stress
0.95,0.31,3.34,2.51,59.48,stress
2.01,0.25,1.51,1.15,0.98,tidak stress
2.78,1.28,0.42,1.94,19.97,tidak stress
2.07,1.43,1.68,1.33,42.07,tidak stress
2.39,2.61,2.13,0.72,83.94,stress
1.55,1.88,1.9,1.31,51.82,stress
2.01,2.12,2.0,1.8,90.41,stress
2.3,0.91,2.41,1.33,74.27,stress
3.35,0.53,2.6,1.4,69.98,stress
0.01,1.87,2.59,2.15,20.04,tidak stress
0.0,1.65,2.22,1.36,4.31,tidak stress
0.33,0.0,2.25,1.07,30.56,tidak stress
4.78,2.31,0.98,0.75,60.15,stress
1.39,3.11,1.72,1.43,3.07,tidak stress
0.41,1.53,0.58,0.89,40.88,tidak stress
1.78,0.69,2.01,1.43,36.1,tidak stress
1.78,1.24,1.51,1.35,17.83,tidak stress
1.67,1.79,4.21,1.53,33.57,tidak stress
2.96,1.41,2.94,2.17,44.65,tidak stress
0.18,2.16,3.08,1.61,98.73,stress
2.38,2.3,3.4,1.65,53.31,stress
2.7,1.1,1.09,0.49,22.96,tidak stress
2.69,1.78,4.46,1.08,17.39,tidak stress
3.82,0.12,2.28,2.4,2.32,tidak stress
2.17,0.25,2.64,1.42,34.44,tidak stress
0.9,0.14,2.89,2.13,58.49,stress
3.02,1.43,0.19,1.16,86.78,stress
2.33,1.81,0.51,0.96,77.63,stress
3.26,1.96,3.12,1.62,75.53,stress
2.89,0.98,0.48,1.32,21.6,tidak stress
2.55,0.42,2.61,1.65,30.65,tidak stress
1.44,2.39,3.12,2.65,93.17,stress
3.61,2.76,0.87,1.5,61.8,stress
2.1,2.51,1.99,0.46,71.75,stress
1.54,1.29,2.02,1.59,38.87,tidak stress
2.05,0.8,2.55,1.0,30.77,tidak stress
0.84,0.83,1.93,1.1,21.35,tidak stress
2.28,0.84,2.96,1.37,60.97,stress
2.46,2.16,3.46,0.79,36.33,tidak stress
4.01,1.18,3.03,0.74,82.16,stress
2.37,1.87,1.56,1.56,17.75,tidak stress
0.13,0.0,1.95,0.49,49.91,tidak stress
3.3,0.96,0.0,0.96,34.35,tidak stress
0.64,3.64,1.24,1.87,89.13,stress
0.0,1.83,1.31,2.28,31.48,tidak stress
1.01,0.0,1.11,0.68,4.71,tidak stress
1.66,1.95,1.87,1.4,1.87,tidak stress
2.61,1.89,3.58,1.99,42.21,tidak stress
0.62,0.79,2.8,1.74,2.84,tidak stress
2.57,1.99,0.99,1.76,78.99,stress
2.4,3.49,2.98,2.32,1.45,tidak stress
2.58,0.74,1.58,1.71,61.26,stress
2.98,2.52,1.47,1.53,69.76,stress
1.51,1.33,2.7,2.18,16.14,tidak stress
1.78,0.25,2.88,0.59,71.51,stress
2.33,3.03,2.41,1.62,40.48,tidak stress
0.08,1.31,2.52,1.71,78.87,stress
2.64,1.52,2.5,2.27,35.74,tidak stress
2.38,2.23,3.27,0.56,24.78,tidak stress
2.0,1.17,1.13,0.54,15.73,tidak stress
1.35,0.93,1.29,1.19,75.35,stress
2.37,0.31,0.33,1.99,45.08,tidak stress
1.99,2.05,2.21,1.5,2.29,tidak stress
2.07,2.22,3.31,2.3,23.29,tidak stress
1.58,0.0,2.44,1.31,50.62,stress
3.06,3.55,1.99,1.33,23.16,tidak stress
2.81,1.02,0.93,1.17,29.61,tidak stress
3.32,0.99,2.04,1.09,24.78,tidak stress
1.68,2.11,2.67,1.51,41.98,tidak stress
0.38,1.2,1.81,1.75,94.03,stress
3.34,1.95,1.84,1.79,61.56,stress
1.55,0.66,1.88,1.71,36.89,tidak stress
2.85,2.39,1.28,0.57,72.84,stress
1.41,1.03,2.61,0.98,7.32,tidak stress
2.81,1.32,1.46,1.21,43.91,tidak stress
2.54,2.18,1.08,0.8,52.48,stress
1.73,1.22,0.0,1.74,92.01,stress
2.43,2.5,2.41,0.71,4.58,tidak stress
0.0,1.57,3.69,1.85,52.58,stress
3.39,0.32,1.7,2.3,41.31,tidak stress
2.13,1.08,2.44,0.86,31.06,tidak stress
2.78,2.06,3.43,1.81,36.66,tidak stress
2.26,2.83,2.37,1.25,32.71,tidak stress
3.24,0.01,1.87,1.1,20.75,tidak stress
1.45,2.37,3.51,1.47,0.98,tidak stress
1.24,1.0,2.15,1.39,77.6,stress
2.86,1.53,2.62,2.21,86.71,stress
2.69,1.1,2.39,2.06,34.02,tidak stress
2.0,1.53,2.15,1.12,79.52,stress
1.6,1.81,3.34,0.36,56.86,stress
2.1,1.7,2.03,0.88,0.57,tidak stress
2.73,0.47,1.45,0.61,14.87,tidak stress
2.97,1.03,4.78,2.6,58.16,stress
0.82,0.99,1.87,0.83,79.01,stress
1.38,0.05,2.96,1.83,8.42,tidak stress
1.74,1.97,0.77,1.5,13.01,tidak stress
2.05,0.59,1.53,1.49,57.83,stress
1.38,1.82,2.48,1.98,80.62,stress
0.54,3.02,0.86,1.48,82.12,stress
2.0,0.46,3.45,1.93,37.13,tidak stress
4.25,0.4,0.49,0.67,38.74,tidak stress
2.47,1.7,2.12,2.1,64.83,stress
1.31,0.72,2.57,2.1,52.86,stress
1.95,0.47,2.15,0.99,84.06,stress
2.72,1.97,2.81,2.35,40.33,tidak stress
4.17,0.84,2.58,1.17,2.13,tidak stress
1.33,2.07,2.07,1.01,81.07,stress
2.82,1.25,1.15,1.28,62.85,stress
2.62,3.25,1.81,1.2,48.86,tidak stress
2.2,0.83,0.59,1.3,2.69,tidak stress
0.34,2.39,2.27,1.21,1.39,tidak stress
1.4,1.67,2.83,1.53,12.87,tidak stress
0.2,1.39,2.91,2.24,17.17,tidak stress
1.9,0.88,0.57,1.85,24.0,tidak stress
1.45,2.76,1.26,1.65,20.17,tidak stress
1.37,0.97,1.13,1.77,50.08,stress
3.31,2.17,1.83,0.81,75.07,stress
1.3,0.61,1.47,2.42,59.84,stress
0.39,0.62,2.37,1.38,99.65,stress
2.32,2.04,1.54,0.9,62.39,stress
2.04,1.31,0.67,1.86,3.33,tidak stress
2.27,1.25,3.04,1.35,98.96,stress
3.94,2.19,1.57,2.22,11.4,tidak stress
2.98,1.52,2.11,1.23,20.35,tidak stress
1.94,2.83,1.49,0.35,93.67,stress
1.27,0.0,3.49,2.5,82.3,stress
3.91,1.52,2.67,2.44,1.44,tidak stress
0.0,2.1,3.83,2.19,94.73,stress
4.77,0.19,1.66,1.69,52.3,stress
2.67,2.23,2.41,1.9,71.62,stress
1.41,1.06,0.31,1.57,76.0,stress
1.46,2.04,2.14,2.2,46.73,tidak stress
0.59,1.0,2.67,2.26,62.97,stress
1.01,1.96,2.98,1.39,24.06,tidak stress
1.82,3.04,2.86,1.77,68.67,stress
0.52,3.0,1.17,1.92,99.88,stress
1.89,0.0,2.33,2.4,93.54,stress
1.39,1.1,3.24,1.45,40.89,tidak stress
0.37,3.19,2.22,1.12,66.3,stress
0.55,0.14,1.13,1.53,21.07,tidak stress
2.35,1.68,2.2,1.99,23.0,tidak stress
3.75,3.21,1.46,1.76,17.16,tidak stress
2.69,1.11,1.41,1.38,27.64,tidak stress
1.31,1.02,3.42,1.32,2.0,tidak stress
2.86,2.52,2.76,1.56,37.46,tidak stress
2.9,1.01,1.43,0.55,42.33,tidak stress
2.12,2.55,1.62,1.43,40.13,tidak stress
1.08,1.66,2.98,1.2,95.6,stress
1.94,0.67,2.82,1.29,72.23,stress
2.99,1.43,2.36,2.37,21.33,tidak stress
2.43,2.06,1.89,1.26,72.26,stress
1.34,1.0,1.73,1.61,53.33,stress
1.85,1.64,1.36,1.5,67.86,stress
2.33,1.8,3.5,0.87,4.59,tidak stress
1.16,1.17,1.92,0.77,49.1,tidak stress
1.86,0.63,1.56,2.0,15.03,tidak stress
1.26,3.01,2.36,0.86,39.66,tidak stress
2.27,2.27,0.0,0.71,97.37,stress
2.18,1.55,2.33,1.19,17.21,tidak stress
1.02,0.36,2.21,1.74,52.85,stress
2.34,2.46,0.49,2.02,41.41,tidak stress
2.32,1.97,1.0,1.35,15.86,tidak stress
0.53,2.74,1.92,1.85,54.19,stress
2.1,0.97,2.53,1.0,85.67,stress
0.0,1.74,3.55,0.96,62.82,stress
2.06,1.83,1.15,1.31,38.08,tidak stress
0.08,2.64,1.15,1.56,52.73,stress
2.03,1.06,1.49,1.9,85.43,stress
1.19,0.38,2.46,1.51,32.72,tidak stress
1.74,0.6,1.11,0.89,22.77,tidak stress
1.76,0.65,2.66,1.76,10.97,tidak stress
2.24,4.12,1.97,1.56,34.27,tidak stress
1.72,0.55,4.56,1.82,94.4,stress
0.4,1.91,2.43,0.44,62.97,stress
0.94,0.0,2.8,1.39,87.82,stress
1.36,1.72,2.36,1.12,95.04,stress
2.89,1.21,1.62,0.88,85.49,stress
1.71,2.63,2.58,0.66,82.54,stress
1.61,2.58,1.3,1.53,61.24,stress
3.2,2.62,2.96,1.21,20.74,tidak stress
1.39,0.66,2.16,1.9,70.49,stress
2.39,4.08,1.4,1.81,11.0,tidak stress
3.41,1.95,2.22,0.84,99.18,stress
1.03,2.63,2.09,2.01,74.24,stress
2.47,1.8,2.71,1.35,5.97,tidak stress
2.2,0.61,1.58,0.71,17.86,tidak stress
2.12,2.05,3.09,1.26,57.06,stress
2.71,2.62,2.12,1.85,82.65,stress
3.19,1.61,2.24,1.08,56.49,stress
0.11,2.74,3.17,0.01,74.1,stress
0.93,0.63,2.04,1.3,60.95,stress
1.41,1.6,1.69,1.28,44.13,tidak stress
2.55,1.37,1.35,1.88,41.66,tidak stress
3.43,1.08,3.82,1.82,78.05,stress
1.91,3.49,2.5,1.6,84.39,stress
2.28,1.0,3.32,1.17,79.1,stress
3.09,2.98,2.78,1.27,57.21,stress
1.54,1.77,1.25,0.93,82.73,stress
3.01,2.93,1.39,1.26,14.03,tidak stress
0.2,1.33,3.65,1.51,82.73,stress
2.34,1.92,2.34,1.4,36.61,tidak stress
2.25,2.15,2.4,2.13,83.93,stress
1.35,1.87,2.64,1.51,6.13,tidak stress
1.5,0.05,2.77,0.83,75.54,stress
1.44,1.67,0.93,2.47,62.8,stress
1.36,1.41,2.41,1.16,48.09,tidak stress
3.38,0.69,0.64,1.25,86.05,stress
1.04,2.82,2.18,0.94,21.24,tidak stress
1.65,3.37,2.49,1.11,16.23,tidak stress
3.49,2.48,4.63,1.71,73.86,stress
1.37,0.31,1.2,0.88,44.24,tidak stress
0.8,2.86,2.92,0.89,47.58,tidak stress
2.76,0.0,3.07,2.47,21.02,tidak stress
1.97,1.29,0.0,1.17,33.25,tidak stress
2.22,1.18,2.66,2.11,66.7,stress
1.53,1.91,2.53,0.73,50.02,stress
2.36,0.29,1.4,1.81,41.16,tidak stress
1.43,1.4,1.34,1.53,4.47,tidak stress
3.0,0.0,1.57,1.0,8.49,tidak stress
2.67,0.83,2.74,0.48,81.94,stress
2.08,1.31,2.49,1.01,29.96,tidak stress
1.72,1.48,0.32,0.98,52.17,stress
2.88,3.64,1.99,2.15,27.71,tidak stress
1.94,0.32,2.45,1.73,35.38,tidak stress
1.7,2.41,2.1,1.52,2.96,tidak stress
2.02,0.53,3.36,1.18,56.48,stress
1.8,2.28,3.32,1.82,33.46,tidak stress
1.15,3.36,2.57,1.94,10.84,tidak stress
2.86,2.03,1.18,1.32,8.27,tidak stress
2.56,0.37,1.64,1.46,66.24,stress
1.63,0.0,1.04,1.52,68.4,stress
0.82,0.01,0.54,2.55,82.64,stress
0.89,1.94,1.28,1.62,43.62,tidak stress
2.29,0.0,1.8,1.34,38.8,tidak stress
1.9,1.85,0.82,1.25,51.58,stress
2.23,2.27,1.91,1.48,9.67,tidak stress
2.39,1.15,1.97,2.53,95.54,stress
1.98,2.2,2.19,2.32,7.43,tidak stress
1.28,1.67,2.56,1.63,80.36,stress
2.09,1.94,1.72,1.37,64.19,stress
1.32,3.52,1.01,1.89,0.04,tidak stress
2.9,2.59,0.85,1.42,96.56,stress
2.62,0.34,2.44,1.37,83.81,stress
1.85,0.62,0.03,1.1,32.51,tidak stress
1.08,1.62,0.6,3.07,23.3,tidak stress
3.32,1.98,2.03,2.11,60.96,stress
0.43,0.82,2.14,1.04,50.12,stress
0.83,0.0,1.81,1.95,41.38,tidak stress
3.7,2.15,3.41,2.15,21.61,tidak stress
2.51,3.03,1.57,1.19,5.38,tidak stress
0.0,0.54,2.14,0.64,98.88,stress
2.58,0.63,2.61,1.43,68.02,stress
2.01,3.26,1.45,2.35,71.54,stress
0.19,1.67,1.21,1.95,79.05,stress
1.4,2.5,2.76,1.12,12.78,tidak stress
3.05,0.52,3.27,1.79,67.74,stress
3.25,0.94,1.93,1.95,47.21,tidak stress
0.68,1.94,1.69,1.02,98.93,stress
2.13,0.87,1.88,1.6,13.5,tidak stress
2.79,2.04,1.14,2.46,22.6,tidak stress
2.27,1.25,1.58,0.73,17.63,tidak stress
3.67,1.99,1.33,1.68,61.16,stress
0.8,2.63,0.23,1.28,23.81,tidak stress
1.7,1.84,1.18,1.91,73.55,stress
2.3,1.84,2.58,2.24,79.13,stress
2.1,2.79,1.35,2.45,55.7,stress
4.23,0.0,1.61,1.91,51.59,stress
1.01,2.05,2.09,1.45,53.77,stress
1.58,1.45,1.59,1.33,67.46,stress
1.99,1.9,2.2,1.31,44.92,tidak stress
1.91,3.08,0.48,0.32,75.34,stress
2.04,1.07,1.36,1.86,15.74,tidak stress
1.15,0.41,1.13,1.66,88.07,stress
3.65,3.6,0.93,1.0,63.94,stress
0.0,2.57,2.16,1.53,33.73,tidak stress
0.86,2.44,2.44,0.71,38.63,tidak stress
1.8,3.72,2.3,1.6,54.19,stress
2.53,1.25,0.66,1.42,23.21,tidak stress
2.68,0.06,2.81,1.02,38.33,tidak stress
1.35,1.0,3.12,1.34,13.44,tidak stress
3.14,1.97,1.71,1.55,89.13,stress
1.57,0.07,2.98,0.95,64.74,stress
0.82,1.67,1.69,1.73,49.65,tidak stress
1.14,1.29,2.44,1.13,22.0,tidak stress
0.47,2.45,1.58,1.68,21.96,tidak stress
1.66,2.34,2.31,2.13,78.28,stress
1.19,0.27,2.53,1.01,92.88,stress
2.73,0.0,2.52,1.09,15.76,tidak stress
2.1,0.0,0.32,1.99,12.01,tidak stress
4.24,1.36,1.48,1.86,21.63,tidak stress
2.59,1.54,2.93,1.73,81.63,stress
1.23,0.99,2.38,1.99,80.98,stress
1.32,2.25,1.47,2.02,58.36,stress
1.44,2.51,1.34,1.75,34.04,tidak stress
0.8,0.0,0.39,1.1,81.78,stress
2.33,2.11,1.04,2.1,79.53,stress
2.26,2.67,2.75,0.72,84.49,stress
2.38,1.84,0.77,1.89,78.3,stress
0.0,1.22,2.27,1.38,25.23,tidak stress
3.36,1.65,3.13,1.84,31.43,tidak stress
4.92,1.54,2.28,1.57,50.57,stress
4.03,1.95,1.7,2.27,28.46,tidak stress
0.08,1.9,1.05,1.98,9.37,tidak stress
2.55,2.14,0.44,1.93,41.21,tidak stress
0.0,2.7,2.69,1.32,36.63,tidak stress
0.58,2.27,1.82,2.05,60.78,stress
2.92,1.17,3.32,1.31,66.88,stress
3.56,1.62,3.18,1.35,1.4,tidak stress
3.91,0.57,1.33,1.89,21.69,tidak stress
2.9,1.63,2.56,2.2,86.03,stress
1.16,0.82,3.41,2.33,29.52,tidak stress
1.99,0.0,4.93,1.19,94.75,stress
2.61,0.92,1.2,1.16,49.3,tidak stress
1.35,0.0,2.43,0.55,1.43,tidak stress
1.77,0.14,3.15,1.68,19.31,tidak stress
1.13,0.86,0.0,1.36,24.92,tidak stress
1.92,1.28,1.6,2.09,49.08,tidak stress
2.09,1.01,1.83,1.32,52.28,stress
2.07,2.6,0.55,1.01,71.3,stress
3.01,0.27,1.37,1.86,86.22,stress
2.8,0.18,3.43,0.57,96.1,stress
4.43,0.83,1.43,1.55,18.8,tidak stress
2.56,1.66,1.58,1.14,30.06,tidak stress
1.29,3.47,1.69,1.92,92.89,stress
2.49,0.0,2.93,1.56,1.2,tidak stress
1.68,3.04,3.87,1.77,31.95,tidak stress
1.34,1.1,2.14,1.62,33.85,tidak stress
0.47,0.51,1.36,1.2,22.74,tidak stress
0.0,0.33,2.27,1.21,79.86,stress
3.92,1.91,1.64,1.26,98.82,stress
2.27,3.0,1.78,0.15,36.45,tidak stress
1.47,0.85,1.94,0.79,49.31,tidak stress
3.28,2.14,1.85,1.45,25.31,tidak stress
2.48,1.0,1.73,1.29,46.5,tidak stress
2.7,2.79,1.05,1.66,23.92,tidak stress
0.57,0.1,3.93,2.22,18.35,tidak stress
0.98,0.0,2.2,1.32,33.55,tidak stress
2.3,2.46,0.0,1.63,74.69,stress
1.76,1.97,3.15,0.6,89.2,stress
2.44,1.88,3.18,0.99,58.33,stress
0.37,1.06,0.15,1.53,83.84,stress
3.41,1.68,0.14,1.08,53.77,stress
0.87,1.62,2.85,0.67,47.46,tidak stress
0.19,1.23,3.46,1.49,86.3,stress
1.36,1.9,0.38,1.43,35.89,tidak stress
2.25,2.21,0.36,1.26,16.71,tidak stress
2.63,2.1,0.43,0.96,27.89,tidak stress
2.64,1.8,3.19,2.05,22.48,tidak stress
1.72,0.56,3.7,2.23,82.33,stress
0.68,0.1,1.42,0.98,8.64,tidak stress
2.04,2.7,3.66,1.3,16.93,tidak stress
1.98,1.88,0.3,1.87,22.99,tidak stress
2.01,3.17,1.86,1.5,98.68,stress
2.94,1.95,2.79,2.0,35.33,tidak stress
2.37,1.38,0.97,1.43,2.91,tidak stress
1.29,1.27,2.18,0.73,9.91,tidak stress
2.83,1.98,1.83,1.45,46.33,tidak stress
2.61,0.15,2.0,2.08,32.61,tidak stress
1.58,1.27,0.58,0.43,96.82,stress
3.05,1.67,2.35,1.35,41.23,tidak stress
1.84,1.12,0.73,1.0,60.48,stress
2.75,2.23,2.75,0.31,66.78,stress
